index,site_id,lon,lat,notes,stream_width_m,basin_size_km2,figure_table,id,mass_type,mass_units,acsp,aisp,eph_sp,ple_sp,tri_sp,chi_sp,other_sp
137,Johnson_EtAl_2013_Lost,-81.038,38.321,Chironomid values are actually nematoceran article; Paper derives benthic production from emergence; Data extracted from Figure 2 using https://apps.automeris.io/wpd/;,NA,NA,NA,93,AFDM,g,1666.6666666666667,1666.6666666666667,NA,444.44444444444446,NA,1222.2222222222222,NA
144,Hall_EtAl_2006_FireholeRiver_Riffle,-110.835,44.561,NA,NA,NA,NA,94,AFDM,mg,63796.66666666667,12308.888888888889,837.7777777777778,31.111111111111114,4460,4114.444444444444,2865.5555555555557
145,Hall_EtAl_2006_FireholeRiver_Vegetated,-110.836,44.562,NA,NA,NA,NA,95,AFDM,mg,190384.44444444447,8603.333333333334,487.77777777777777,14.444444444444445,985.5555555555555,5146.666666666667,1968.888888888889
146,Hall_EtAl_2006_PolecatCreek,-110.687,44.11,NA,NA,NA,NA,96,AFDM,mg,232823.33333333334,8844.444444444445,1676.6666666666667,284.44444444444446,1328.888888888889,2636.666666666667,2917.777777777778
147,Hall_EtAl_2006_GibbonRiver,-110.855,44.641,NA,NA,NA,NA,97,AFDM,mg,31942.222222222223,4387.777777777778,426.6666666666667,641.1111111111111,1512.2222222222224,956.6666666666667,851.1111111111112
21,Cross_EtAl_2013_ColoradoRiver_Site2,-111.85,36.5,Average of three sampled years,NA,NA,NA,98,AFDM,g,8852.444444444445,8146.333333333334,0,0,500.4444444444445,1225.7777777777778,6420.111111111112
22,Cross_EtAl_2013_ColoradoRiver_Site3,-111.81,36.17,Average of three sampled years,NA,NA,NA,99,AFDM,g,1458.8518522222223,1117.1851855555558,0,0,193.81481477777777,609.9629630000001,313.4074074444445
23,Cross_EtAl_2013_ColoradoRiver_Site4,-112.49,36.28,Average of three sampled years,NA,NA,NA,100,AFDM,g,1123.5925922222223,1088.1851852222223,0,0,19.85185185555556,486.44444444444446,581.8888888888889
24,Cross_EtAl_2013_ColoradoRiver_Site5,-112.85,36.72,Average of three sampled years,NA,NA,NA,101,AFDM,g,1689.481481111111,1408.407407777778,0.7777777777777778,0,63.592592588888884,705.074074111111,638.962963
25,Cross_EtAl_2013_ColoradoRiver_Site6,-113.36,35.77,Average of three sampled years,NA,NA,NA,102,AFDM,g,1563.3333333333335,1300.7037033333334,0,0,65.92592592222223,639.6296296666667,595.1481481111111
4,Carlisle_Clements_2003_HighZinc_Snake,-105.86,39.57,NA,NA,NA,NA,103,DM,mg,39,39,0,11,5,14,9
5,Carlisle_Clements_2003_IntermediateZinc_Mosquito,-106.07,39.27,NA,NA,NA,NA,104,DM,mg,1716,1716,1127,228,303,2,56
6,Carlisle_Clements_2003_LowZinc_Buckskin,-106.07,39.28,NA,NA,NA,NA,105,DM,mg,2284,2284,1293,383,321,257,30
7,Carlisle_Clements_2003_Reference1_EastFork,-106.21,39.35,NA,NA,NA,NA,106,DM,mg,4465,4465,1770,1102,973,469,151
8,Carlisle_Clements_2003_Reference2_FourMile,-106.08,39.2,NA,NA,NA,NA,107,DM,mg,5196,5196,3002,862,526,767,39
114,Wallace_EtAl_1995_DDP,-83.45,35.05,Insect production not reported; Cambarus (crayfish) production divided equally among the functional feeding groups,NA,NA,NA,108,AFDM,mg,4947.777777777778,NA,NA,NA,NA,NA,NA
115,Wallace_EtAl_1995_DDT,-83.45,35.05,Insect production not reported; Cambarus (crayfish) production divided equally among the functional feeding groups,NA,NA,NA,109,AFDM,mg,13242.222222222223,NA,NA,NA,NA,NA,NA
116,Wallace_EtAl_1995_RP,-83.45,35.04,Insect production not reported; Cambarus (crayfish) production divided equally among the functional feeding groups,NA,NA,NA,110,AFDM,mg,5788.88888888889,NA,NA,NA,NA,NA,NA
117,Wallace_EtAl_1995_RT,-83.45,35.04,Insect production not reported; Cambarus (crayfish) production divided equally among the functional feeding groups,NA,NA,NA,111,AFDM,mg,10258.888888888889,NA,NA,NA,NA,NA,NA
149,Krueger_Waters_1983_CaribouRiver,-91.037,47.574,wet mass,4.5,NA,NA,112,WM,g,6500,4212,1188,618,848,NA,NA
150,Krueger_Waters_1983_NorthBranchCreek,-92.561,46.618,wet mass,6,NA,NA,113,WM,g,26480,22468.4,2904,400,7494.4000000000005,NA,NA
151,Krueger_Waters_1983_BlackhoofRiver,-92.531,43.662,wet mass,5.5,NA,NA,114,WM,g,15620,8558,980,1136.8,3170.2000000000003,NA,NA
167,Colon-Gaud_EtAl_2009_ElCope_Site1,-80.583,8.667,habitat weighted production (?),3.28,NA,Web Appendix 1.,115,AFDM,mg,3440.5555555555557,3219.888888888889,316.77777777777783,24.222222222222225,682.8888888888889,NA,NA
168,Colon-Gaud_EtAl_2009_ElCope_Site2,-80.583,8.667,NA,3.55,NA,Web Appendix 1.,116,AFDM,mg,4854.888888888889,4546,319.1111111111111,4.666666666666667,602.4444444444446,NA,NA
169,Colon-Gaud_EtAl_2009_Fortuna_Site1,-80.233,8.7,NA,3.37,NA,Web Appendix 1.,117,AFDM,mg,4048.666666666667,3895.1111111111113,637.8888888888889,184.22222222222226,340.11111111111114,NA,NA
170,Colon-Gaud_EtAl_2009_Fortuna_Site2,-80.233,8.7,NA,2.01,NA,Web Appendix 1.,118,AFDM,mg,4287.111111111111,3823.5555555555557,448.11111111111114,2.7777777777777777,1278.5555555555557,NA,NA
78,Leland_EtAl_1986_ConvictCreek,-118.83,37.61,NA,NA,NA,Table 3,119,DM,g,4465,4465,1472,266,2377,120,NA
83,Miller_1985_Site1,-79.51,37.9,"From article: ""Production estimates obtained by multiplying an assumed annual turnover ratio by average standing biomass are indicated by (t). All others were calculated using the size-frequency method.""",3,NA,"Tables 2,3,4,5",120,DM,g,1810,840,170,440,50,NA,NA
84,Miller_1985_Site2,-79.5,37.92,"From article: ""Production estimates obtained by multiplying an assumed annual turnover ratio by average standing biomass are indicated by (t). All others were calculated using the size-frequency method.""",5.3,NA,"Tables 2,3,4,5",121,DM,g,12460,11920,740,740,9740,NA,NA
