"","BAS_ID","BAS_Class","BA_km2","mnRSSA_pc","sdRSSA_pc"
"30919",4000016620,"C",85.6087,0.53711493659801,0.13544882754829
"30920",4000016630,"C",823.337,0.76158663609451,0.148238790438757
"30921",4000016640,"C",53.7193,0.56620706148332,0.14965826221178
"30922",4000016650,"C",102.878,0.65103505212532,0.161240229535355
"30923",4000016660,"C",60.7492,0.64922821922615,0.169667307807468
"30924",4000016670,"C",197.853,0.75288926066205,0.174127982745538
"30925",4000016680,"C",155.73,0.70945210418232,0.168286887001102
"30926",4000016690,"C",1155.37,0.93419821865403,0.175267461383084
"30927",4000016710,"C",195.615,0.76519959443764,0.17726160905655
"30928",4000016730,"C",365.657,0.83571273829282,0.180571291791372
"30929",4000016740,"C",165.831,0.64417645814383,0.151550865165258
"30930",4000016750,"C",661.973,0.84522571955053,0.169837172402301
"30931",4000016760,"C",3.74445,0.49085091614693,0.163891827539533
"30932",4000016770,"C",105.584,0.62949181700046,0.155429567205456
"30933",4000016780,"C",38.4954,0.52828355838469,0.144205345898831
"30934",4000016790,"C",205.552,0.60912345562947,0.13983857931603
"30935",4000016800,"C",269.945,0.52752641741626,0.117315338356243
"30936",4000016810,"B",29642.6,0.99305879991089,0.192484081442224
"30937",4000016820,"C",40.568,0.45011421585277,0.122330046704021
"30938",4000016830,"B",15525.6,1.37645538896423,0.199646489930715
"30939",4000016840,"C",13.6114,0.39808020174121,0.119641283649318
"30940",4000016850,"C",160.866,0.43544264091155,0.102802224229223
"30941",4000016860,"C",280.451,0.43452975544865,0.096339134345752
"30942",4000016870,"C",72.8274,0.40433375221147,0.10385990580659
"30943",4000016880,"C",477.755,0.46311857532636,0.096225537799806
"30944",4000016890,"C",147.889,0.44548693234025,0.106117619752702
"30945",4000016900,"C",581.507,0.49628631924603,0.100540110726329
"30946",4000016910,"C",136.499,0.47301931866285,0.113600845065799
"30947",4000016920,"C",904.871,0.51893628893476,0.099191090883505
"30948",4000016940,"C",3668.95,0.57589789432906,0.08942521888663
"30949",4000016950,"C",249.783,0.55665784135351,0.124919967690267
"30950",4000016960,"C",118.283,0.55011437971582,0.134111272009222
"30951",4000016980,"C",713.216,0.6154793552423,0.121522201759924
"30952",4000016990,"C",246.176,0.60930571191601,0.137035192897896
"30953",4000017000,"C",128.375,0.58314394261544,0.140952013185266
"30954",4000017010,"C",14.0044,0.51050142922958,0.15281834749577
"30955",4000017020,"A",773231,0.833729034816,0.021837853222185
"30956",4000017030,"C",131.271,0.60368296312297,0.145597371338658
"30957",4000017040,"C",145.996,0.58875444382891,0.140350806364165
"30958",4000017060,"C",1135.48,0.86212481693364,0.161496316220683
"30959",4000017070,"C",186.465,0.78136185245305,0.182056899624499
"30960",4000017090,"C",210.446,0.92455704933546,0.213559046130652
"30961",4000017100,"C",28.639,0.8409196221174,0.237021295098212
"30962",4000017110,"C",6007.82,0.92505425231767,0.135162830349545
"30963",4000017120,"C",14.4809,0.83361818708439,0.249692844225837
"30964",4000017130,"C",121.787,0.97425506172594,0.23911859695117
"30965",4000017140,"C",9.66905,0.82056056032417,0.254349239707581
"30966",4000017150,"C",1043.81,1.13748514559417,0.218848219357045
"30967",4000017160,"C",53.6114,0.93977292891149,0.250261478809218
"30968",4000017170,"C",118.881,1.00210794541333,0.246804394871446
"30969",4000017180,"C",821.374,1.15756033727283,0.229929513361482
"30970",4000017200,"C",353.303,1.09993985263458,0.241271632311611
"30971",4000017240,"C",1428.97,1.1469589888093,0.211782841454376
"30972",4000017390,"C",2088.56,0.9095565083191,0.156780153611442
"30973",4000017400,"C",27.0645,0.68247439457749,0.192795695643665
"30974",4000017410,"C",101.744,0.66443363731711,0.164786994943448
"30975",4000017420,"C",135.18,0.68684350602209,0.165358452137561
"30976",4000017430,"C",1926.7,0.65874496783961,0.113386168463884
"30977",4000017440,"C",44.6556,0.62530369734763,0.168367277731162
"30978",4000017450,"C",230.804,0.64435433247239,0.146077561337188
"30979",4000017460,"C",166.468,0.75058753874933,0.176933413660224
"30980",4000017470,"C",421.696,0.72958855305659,0.154387296053676
"30981",4000017480,"C",76.5431,0.73372403682083,0.187639349839006
